global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
378,8.517643,254.357422,13.465804,329.637970
379,8.445909,249.859573,14.053927,332.664856
380,8.610469,245.737473,14.069468,327.904602
381,8.241041,244.129593,14.173531,330.486664
382,8.781205,243.772995,14.316670,340.276520
383,8.917844,247.736938,13.968171,327.147217
384,8.823268,251.556839,13.564160,319.694672
385,8.664926,251.382278,13.597575,317.464691
386,8.607426,252.418274,14.254455,330.673218
387,8.895277,254.562057,14.477935,340.915497
388,8.872687,252.594727,14.179008,334.440338
389,8.520042,252.658508,13.719676,328.537140
390,8.662392,260.651398,13.330128,325.838409
391,8.874728,250.398132,12.745706,328.391846
392,9.015370,256.475922,11.865333,307.752289
393,9.170646,275.560760,12.204318,330.727509
394,9.162181,277.644867,12.877693,353.771149
395,9.778521,299.353546,13.476238,356.388580
396,9.795906,299.274353,14.605591,367.569000
397,10.133954,307.010651,15.456801,386.600250
398,10.148385,304.400696,15.422746,397.608398
399,9.304685,278.822662,14.377341,358.812988
400,9.269195,275.473358,14.704269,355.179779
401,9.447829,268.676605,14.346428,351.837646
402,9.889572,282.519196,14.122014,341.316101
403,9.761559,291.125488,14.553997,345.399750
404,9.543903,292.334686,15.370122,370.604889
405,9.785202,289.101288,15.434466,379.461426
406,10.435990,300.482239,15.199252,372.969513
407,9.890536,281.247070,14.088101,332.535675
408,9.877892,280.327698,14.521626,338.763214
409,10.008980,302.841766,14.639874,344.592316
410,10.146182,313.522308,14.856692,355.501312
411,9.790412,305.543671,15.571083,392.372650
412,9.700061,296.779572,15.404259,395.093414
413,9.855666,299.757355,15.715955,389.666595
414,9.570339,277.219940,14.440778,339.834442
415,9.362294,273.608582,12.813156,301.440399
416,9.096944,255.685913,12.253964,314.790070
417,8.816386,244.498001,12.455710,318.532745
418,8.271867,222.584030,12.968669,309.876617
419,7.849780,200.239822,12.662894,272.840851
420,7.918500,199.669006,12.785411,265.785858
421,7.818999,202.917892,12.175981,254.720276
422,8.448445,232.387100,12.875015,278.065643
423,8.412498,224.908997,13.830315,297.009125
424,8.562675,228.881332,14.177012,309.802887
425,8.896854,236.856277,13.717346,299.110718
426,8.611632,221.666870,13.574727,290.697113
427,8.893553,231.079269,13.632108,293.863312
428,8.777776,228.182083,14.305939,296.099396
429,8.486945,212.972473,14.488365,304.165802
430,8.813601,224.054153,14.321198,308.569550
431,9.178826,242.513016,14.341245,317.769531
432,9.142528,245.157227,14.899536,339.705505
433,9.181858,254.899368,14.519750,329.689575
434,9.192825,257.837769,15.568551,359.637787
435,8.836171,243.145554,16.381506,399.714844
436,8.972243,243.781677,15.918030,399.080566
437,8.852916,240.392441,16.251686,419.471405
438,9.022499,249.629105,14.471461,352.477020
439,9.444792,264.886749,13.616565,324.524170
440,8.621446,217.814987,12.441280,281.138611
441,8.079929,186.037491,12.011485,253.911148
442,7.885710,197.099655,11.652003,229.779358
443,8.319240,212.673340,11.695027,238.620483
444,8.617603,243.665421,13.515523,321.963959
445,9.312554,276.425262,15.809880,434.550812
446,9.657566,306.023773,16.330803,472.394440
447,9.381215,289.881958,15.422173,390.506927
448,9.575841,297.365295,15.564891,365.751465
449,9.494750,280.225464,15.128772,344.135620
450,9.919873,290.170319,14.813357,347.166595
451,10.139241,316.162140,15.801167,362.828033
452,10.351162,330.559906,16.150682,369.051636
453,9.489371,294.802490,16.554739,398.558624
454,10.340648,336.620483,15.807876,389.490631
455,10.339018,333.833649,15.979190,396.457428
456,10.305615,326.828094,15.922832,388.574951
457,9.733673,292.515900,15.275411,372.738068
458,10.528676,323.301849,15.183606,384.165527
459,10.551824,326.670837,15.575012,392.229095
460,10.410699,308.438629,15.505913,389.176270
461,10.700051,341.151611,15.431600,376.835083
462,10.610684,337.697235,13.865497,344.503632
463,10.462655,345.575226,13.726063,340.622406
464,9.716666,306.586823,12.974141,333.863892
465,10.165097,310.090179,13.662731,356.858154
466,10.708196,322.055756,14.047637,370.277618
467,9.929280,288.196442,13.415250,335.798187
468,10.278956,289.876465,14.128944,360.891022
469,10.842845,318.682129,14.161557,350.026520
470,9.824290,285.079437,14.542896,373.491425
471,9.953048,286.277100,14.986995,391.831268
472,10.309803,294.931183,15.498298,389.880585
473,10.282204,293.529907,15.306157,371.236908
474,10.290414,294.058685,15.114865,365.129669
475,10.568597,309.216461,15.938781,381.498749
476,10.340282,301.235931,16.289686,387.552582
477,10.455556,315.405731,16.431776,389.401978
478,10.431028,315.859497,15.632977,368.944672
479,10.889997,323.748138,15.244128,362.376312
480,10.391599,293.802521,15.028305,349.365143
481,10.098489,290.033539,15.009613,348.991699
482,10.551345,303.023468,16.139847,394.185638
483,10.643300,318.571045,16.703768,431.226562
484,10.555422,303.339996,16.167551,411.626587
485,10.625284,304.165741,15.332741,384.185059
486,10.627750,300.725647,14.529067,356.380219
487,10.336707,301.550507,13.763271,350.456055
488,10.331704,309.403442,12.940219,328.453491
489,10.717025,330.200958,12.458014,335.491058
490,10.964999,320.452728,12.932422,363.910156
491,10.991054,329.031097,13.962726,386.637360
492,10.298738,305.476318,15.378049,402.381592
493,10.629168,316.769897,17.986269,492.362579
494,10.286424,305.192108,16.800203,446.699066
495,10.568175,311.107452,15.973943,414.382660
496,10.466871,305.620697,15.273694,375.465210
497,10.109164,296.738434,15.049640,366.443756
498,10.317236,302.996063,15.320873,370.292816
499,10.479711,301.286407,15.951863,376.096802
