global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
3386,7.100912,204.421677,20.643232,560.771484
3387,7.043223,203.754715,20.257141,540.455566
3388,7.043310,197.479874,20.048056,510.450317
3389,7.121782,203.079636,20.183222,504.671844
3390,7.098727,199.005356,21.133587,533.458374
3391,6.908642,199.887283,21.228762,539.877197
3392,7.037119,209.240921,20.865679,518.047302
3393,7.062880,204.496323,20.518803,510.490814
3394,6.935439,201.915161,20.338396,510.808594
3395,6.355906,182.158127,20.376200,507.075195
3396,6.206274,189.375793,20.257563,487.182831
3397,6.443985,187.388977,21.184366,524.810364
3398,6.395914,179.188034,22.190306,592.526611
3399,6.217308,177.481766,23.185530,655.393250
3400,6.238716,190.997177,23.765097,694.782227
3401,6.280829,189.082047,23.546106,679.105835
3402,6.280277,184.107712,23.236013,663.653503
3403,6.456940,186.543701,22.657608,629.509888
3404,6.703468,195.918350,21.303457,572.849548
3405,6.601606,178.877014,20.800930,546.169861
3406,6.516465,187.316040,20.597792,543.607849
3407,6.603817,178.651016,21.067472,577.247375
3408,6.597124,190.580002,22.123322,629.401917
3409,6.382086,192.188965,20.704397,578.536621
3410,6.335988,175.602036,20.304619,561.091125
3411,6.237000,169.697144,19.994606,540.311462
3412,6.302221,168.514664,19.858591,513.670227
3413,6.448950,173.774826,19.922888,501.022614
3414,6.630318,179.468750,20.564623,514.409241
3415,6.402408,179.611923,20.781929,511.358154
3416,6.383192,180.395676,20.366407,488.049164
3417,6.665286,185.541016,20.688139,500.832275
3418,7.374262,211.862671,20.948650,526.068604
3419,6.424141,178.627396,19.955650,481.013428
3420,5.993025,174.579590,19.018986,432.134033
3421,6.076314,175.882812,19.376637,432.828156
3422,6.521883,185.956192,20.206541,474.339630
3423,6.639965,179.875290,20.565907,507.079834
3424,6.449908,177.887131,21.663109,566.166992
3425,6.452908,177.369949,21.954489,573.666809
3426,6.460686,173.937302,21.537430,559.253723
3427,6.738419,184.642715,21.068563,542.671265
3428,6.849186,190.102097,20.205164,512.508057
3429,6.552167,180.051147,19.710848,487.221924
3430,6.930953,198.803223,19.559158,479.545380
3431,6.453734,174.455368,19.902147,503.686127
3432,6.443989,177.556961,20.992323,548.245789
3433,6.438555,192.708359,19.569799,503.757690
3434,6.737331,191.051270,18.983185,483.847504
3435,6.660750,197.939865,18.464678,455.315948
3436,6.586386,192.555740,18.223930,423.764893
3437,6.765465,193.873489,18.795641,427.462891
3438,6.636164,173.734940,19.840231,462.395721
3439,6.434148,175.355972,19.828325,472.224518
3440,6.832294,183.251541,19.781054,465.401825
3441,7.200876,201.526932,20.000944,474.059082
3442,7.770680,238.398315,19.737745,461.514191
3443,7.992528,244.138199,19.378668,455.013275
3444,7.764521,231.435104,19.057310,436.974701
3445,7.269990,197.746399,18.502989,401.708008
3446,7.490486,199.306030,18.787386,418.207428
3447,7.675947,203.523331,19.253937,440.652496
3448,7.648130,205.072266,19.831438,474.407715
3449,7.788973,209.499496,19.700035,457.353760
3450,7.672617,206.215637,19.436255,455.535889
3451,7.821492,199.201218,19.948074,489.005768
3452,7.627065,203.272141,20.093868,501.907227
3453,7.550813,210.573853,20.361589,504.540619
3454,7.561259,211.814011,19.954988,488.134979
3455,7.261397,199.002151,20.227423,509.037079
3456,7.509951,212.211441,21.383444,557.667786
3457,7.432826,215.387314,20.713390,525.515564
3458,7.710954,210.579636,19.825117,501.574707
3459,7.619245,208.105774,19.007477,462.272858
3460,7.385172,201.536667,18.399477,420.261719
3461,7.278004,194.452438,18.896326,422.794769
3462,7.139853,193.580368,19.189310,440.242035
3463,7.387671,205.411331,19.396097,447.782990
3464,7.030145,167.023560,19.128860,440.075317
3465,6.445070,127.293556,18.188517,399.722992
3466,6.029994,104.345428,17.205019,351.996307
3467,5.725809,97.625221,16.370998,315.314484
3468,5.790810,96.174980,15.489591,282.497192
3469,5.343761,96.579834,15.055814,262.734131
3470,5.372826,97.232666,15.512752,295.693451
3471,5.283267,92.414886,16.086836,337.891846
3472,5.257267,84.682854,16.209641,337.670441
3473,5.456503,82.438927,15.563668,300.923065
3474,5.268990,83.285728,15.085715,269.878448
3475,5.615150,88.526085,14.673087,261.473297
3476,5.559254,91.957115,14.274808,242.171677
3477,5.264542,87.567314,14.007129,229.652405
3478,5.371272,92.505028,13.870358,220.169144
3479,5.395402,89.868774,13.867412,220.689926
3480,5.349397,83.472580,13.932647,227.340256
3481,5.264222,84.795998,13.322093,211.206375
3482,5.657404,97.871986,13.393829,210.681564
3483,6.000242,106.533531,13.491047,215.959229
3484,5.881556,109.551430,13.771851,222.196365
3485,6.169235,113.944069,14.135922,242.560867
3486,5.992292,103.286560,14.471000,258.792175
3487,5.680087,93.963905,14.634247,265.986176
3488,6.046358,109.090721,14.379031,255.798294
3489,6.051010,109.719666,14.151912,233.175980
3490,5.761559,110.397545,13.742382,220.016495
3491,5.962612,138.707199,13.825276,224.140091
3492,6.376939,156.602463,14.580887,249.001266
3493,6.988505,177.907089,16.268766,315.953766
3494,7.166808,196.132996,17.671669,372.463989
3495,7.546686,221.760010,17.198313,372.145416
3496,7.375677,193.881058,16.701838,358.945160
3497,7.740931,200.434387,16.042830,324.895294
3498,7.605635,200.945801,15.349065,297.482880
3499,7.577296,177.032944,15.376500,304.058807
3500,7.166985,177.307190,15.541888,312.118317
3501,7.473666,185.717041,15.604878,318.149261
3502,7.553964,203.260315,15.977928,333.296448
3503,7.628091,196.247604,16.446835,349.915283
3504,7.256207,179.931686,17.109221,368.754395
3505,7.118832,178.313950,16.034300,331.785553
3506,7.527189,182.960678,15.039592,302.198608
3507,7.409167,190.733765,14.613205,284.787689
3508,7.311964,185.625320,14.259838,264.679352
3509,7.476896,183.349869,14.403431,263.547241
3510,7.288918,181.312988,14.670128,277.404297
3511,7.161635,181.110306,14.704670,277.668823
3512,7.375683,181.831055,14.977951,287.988373
3513,7.751092,194.540726,15.912468,312.689056
3514,7.830997,194.749252,16.207895,325.844025
3515,8.242764,225.852188,16.620544,339.153168
